id,name,country,tees,course_rating,slope_rating,slug,par
1,Faldo,Portugal,White,72,122,faldo-white,72
2,Faldo,Portugal,Yellow,70.6,132,faldo-yellow,72
3,"O'Connor Junior",Portugal,White,72.8,132,oconnor-junior-white,72
4,"O'Connor Junior",Portugal,Yellow,71.1,128,oconnor-junior-yellow,72
5,Bramley,UK,White,69.3,122,bramley-white,72
6,Bramley,UK,Yellow,67.6,118,bramley-yellow,72
7,Assoufid,Morocco,Black,72,133,assoufid-black,72
8,Assoufid,Morocco,White,72,131,assoufid-white,72
9,Assoufid,Morocco,Yellow,72,129,assoufid-yellow,72
10,Assoufid,Morocco,Blue,72,127,assoufid-blue,72
11,"Al Maaden",Morocco,Black,74.3,138,al-maaden-black,72
12,"Al Maaden",Morocco,White,72.9,135,al-maaden-white,72
13,"Al Maaden",Morocco,Yellow,70.8,130,al-maaden-yellow,72
14,Samanah,Morocco,Black,76,149,samanah-black,72
15,Samanah,Morocco,White,73,143,samanah-white,72
16,Samanah,Morocco,Yellow,72,141,samanah-yellow,72
17,"Pine Ridge",UK,White,70.8,123,pine-ridge-white,72
18,"Pine Ridge",UK,Yellow,68.7,123,pine-ridge-yellow,72
19,Hersham,UK,White,65.6,113,hersham-white,72
20,Hersham,UK,Yellow,64.6,111,hersham-yellow,72
21,Silvermere,UK,White,71.9,127,silvermere-white,72
22,Silvermere,UK,Yellow,70.1,120,silvermere-yellow,72
23,Fulwell,UK,Claret,72.7,130,fulwell-claret,72
24,Fulwell,UK,Green,72.1,127,fulwell-green,72
25,Fulwell,UK,White,70.4,126,fulwell-white,72
26,"Clandon Regis",UK,White,71.9,135,clandon-white,72
27,"Clandon Regis",UK,Yellow,68.9,128,clandon-yellow,72
28,"Hartley Wintney",UK,White,70.8,131,hartley-white,72
29,"Hartley Wintney",UK,Yellow,69.3,127,hartley-yellow,72
30,"The Oaks",UK,White,69.1,119,oaks-white,72
31,"The Oaks",UK,Yellow,67,118,oaks-yellow,72
32,"Royal Palm",Morocco,Yellow,72,113,palm-yellow,72
