id,handicap_index,holiday_id,player_id
1,7.4,1,2
2,16,1,4
3,22,1,3
4,13.9,1,1
5,17.2,2,1
6,22.2,2,3
7,14.4,2,4
8,5.3,2,2
118,17.8,56,1
119,22.2,56,3
120,14.4,56,4
130,20.1,59,1
131,15.9,59,4
132,30.7,59,6
133,22,59,7
134,19.1,60,1
135,15.7,60,4
136,48,60,8
140,18.5,62,1
141,14.8,62,4
142,19.1,63,1
143,15.9,63,4
144,28.3,63,6
145,39,63,8
149,19.6,65,1
150,15.9,65,4
151,48,65,8
152,54,65,9
153,19.7,66,1
154,6.8,66,2
155,22.7,66,3
156,15.9,66,4
157,20,67,1
158,0.7,67,5
159,30.2,67,6
160,15.9,68,4
161,22,68,7
162,54,68,9
163,22,68,10
167,18.6,70,1
168,6.2,70,2
169,15.6,70,4
170,1.1,70,5
172,18.6,72,1
173,21.4,72,11
174,18.6,73,1
175,15.8,73,4
176,28.5,73,6
177,22,73,10
178,18.6,74,1
179,15.8,74,4
180,28.5,74,6
181,22,74,10
